"filename", "language", "JSON", "TypeScript", "XML", "JavaScript", "JSON with Comments", "HTML", "C#", "Python", "TypeScript JSX", "PostCSS", "YAML", "C", "C++", "comment", "blank", "total"
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\.vs\Hydronom\v17\DocumentLayout.backup.json", "JSON", 415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 415
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\.vs\Hydronom\v17\DocumentLayout.json", "JSON", 421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 421
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\HydroScanCommand\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 0, 0, 38, 34, 218
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\HydroScan\app.py", "Python", 0, 0, 0, 0, 0, 0, 0, 172, 0, 0, 0, 0, 0, 113, 37, 322
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\HydroScan\hydroscan\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 12
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\HydroScan\hydroscan\live.py", "Python", 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 124, 52, 292
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\HydroScan\hydroscan\model.py", "Python", 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 66, 33, 190
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\HydroScan\hydroscan\parsing.py", "Python", 0, 0, 0, 0, 0, 0, 0, 371, 0, 0, 0, 0, 0, 201, 95, 667
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\HydroScan\static\hydroscan.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 263, 0, 0, 0, 15, 39, 317
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\HydroScan\static\hydroscan.js", "JavaScript", 0, 0, 0, 1117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 165, 184, 1466
